1,4939,2973,1495,995,1260,900
2,4888,2947,1503,988,1253,900
3,4827,2902,1483,968,1248,900
4,4776,2865,1464,949,1244,900
5,4719,2834,1459,944,1254,900
6,4671,2797,1448,933,1258,900
7,4621,2775,1437,922,1247,900
8,4563,2732,1421,921,1231,900
9,4504,2688,1403,918,1213,900
10,4452,2638,1383,898,1208,900
11,4393,2602,1375,890,1215,900
12,4345,2562,1360,875,1215,900
13,4283,2517,1347,862,1217,900
14,4228,2478,1341,856,1226,900
15,4191,2457,1335,850,1220,900
16,4129,2421,1326,841,1226,900
17,4071,2383,1320,835,1235,900
18,4031,2342,1313,843,1228,900
19,3991,2310,1308,838,1238,900
20,3930,2281,1299,829,1229,900
21,3866,2243,1288,818,1233,900
22,3818,2193,1275,805,1235,900
23,3774,2146,1264,794,1239,900
24,3719,2101,1268,783,1228,900
25,3669,2048,1254,769,1229,900
26,3609,1996,1238,768,1213,900
27,3559,1944,1220,750,1210,900
28,3496,1898,1211,741,1216,900
29,3456,1849,1195,725,1215,900
30,3399,1804,1187,717,1222,900
31,3346,1755,1181,711,1231,900
32,3299,1701,1165,710,1215,900
33,3239,1658,1159,704,1224,900
34,3187,16
