1,4951,2982,1490,990,1240,900
2,4903,2950,1480,980,1245,900
3,4844,2914,1461,961,1241,900
4,4786,2873,1445,960,1225,900
5,4732,2841,1452,952,1217,900
6,4677,2815,1442,942,1222,900
7,4634,2776,1427,927,1222,900
8,4571,2751,1410,910,1205,900
9,4535,2737,1398,898,1193,900
10,4495,2703,1388,888,1198,900
11,4441,2669,1377,892,1187,900
12,4378,2644,1369,884,1194,900
13,4337,2623,1350,865,1175,900
14,4275,2594,1343,858,1183,900
15,4209,2567,1325,840,1165,900
16,4162,2538,1319,834,1174,900
17,4093,2498,1304,819,1174,900
18,4028,2477,1298,813,1183,900
19,3970,2440,1285,800,1185,900
20,3914,2419,1280,810,1180,900
21,3862,2396,1273,803,1188,900
22,3804,2357,1253,783,1183,900
23,3750,2323,1236,781,1166,900
24,3688,2297,1245,775,1160,900
25,3645,2268,1231,761,1161,900
26,3594,2239,1226,756,1171,900
27,3517,2198,1206,736,1166,900
28,3451,2161,1189,719,1164,900
29,3400,2134,1172,702,1147,900
30,3355,2099,1174,689,1134,900
31,3292,2090,1166,681,1126,900
32,3240,2062,1160,675,1135,900
33,3175,2025,1147,677,1122,900
34,3124,1990,1137,667,1127,900
35,3069,1958,1127,657,1132,900
36,3021,1921,1107,637,1127,900
37,2978,1903,1091,621,1111,900
38,2936,1879,1086,616,1121,900
39,2894,1851,1080,610,1130,900
40,2832,1842,1072,602,1122,900
41,2767,1808,1063,593,1128,900
42,2702,1781,1056,586,1136,900
43,2653,1752,1049,579,1144,900
44,2600,1723,1041,571,1151,900
45,2537,1689,1032,562,1157,900
46,2478,1665,1025,555,1165,900
47,2433,1623,1006,536,1161,900
48,2379,1593,996,526,1166,900
49,2322,1556,983,528,1153,900
50,2257,1521,983,513,1138,900
51,2218,1499,977,507,1147,900
52,2153,1501,969,499,1139,900
53,2093,1471,954,484,1139,900
54,2042,1456,935,465,1135,900
55,1981,1457,927,457,1142,900
56,1932,1445,911,441,1141,900
57,1859,1427,891,421,1136,900
58,1811,1402,874,404,1134,900
59,1767,1393,855,385,1115,900
60,1716,1388,842,372,1117,900
61,1651,1376,830,360,1120,900
62,1587,1363,834,349,1109,900
63,1546,1358,838,338,1098,900
64,1489,1359,831,346,1091,900
65,1434,1343,824,339,1099,900
66,1382,1341,816,331,1106,900
67,1322,1320,802,317,1107,900
